"","name","year","length","p.value","W_statistic"
"1","BB",2000,243.392156862745,"6.94179682361642e-05","1792.5"
"2","BB",2001,174.416666666667,"NA","NA"
"3","BB",2019,NA,"NA","NA"
"4","CC",2000,127.146341463415,"1.09787476851503e-19","23273.5"
"5","CC",2001,76.6975609756098,"1.1140139499657e-06","2053.5"
"6","CC",2019,98.125,"7.12950972238321e-10","10476.5"
"7","CS",2000,94.7826086956522,"4.4628572731e-26","22436.5"
"8","CS",2001,54.2047713717694,"0.981101441453889","3228"
"9","CS",2019,94.2571428571429,"8.57987445748773e-66","1924"
"10","LT",2000,455.518518518519,"0.00319375255039527","389"
"11","LT",2001,276.473684210526,"0.0141938505032962","524"
"12","LT",2019,241.642857142857,"0.158554242465972","331.5"
"13","MM",2000,71.6666666666667,"NA","NA"
"14","MM",2001,59.168449197861,"NA","NA"
"15","MM",2019,55.8852459016393,"0.0945782820138048","12928.5"
"16","PS",2000,93.0421792618629,"1.27987718080796e-15","852306"
"17","PS",2001,82.1730158730159,"8.9391336234093e-35","387952"
"18","PS",2019,NA,"1.07225615680592e-15","386984"
"19","RS",2000,117,"NA","NA"
"20","RS",2001,134,"NA","NA"
"21","RS",2019,NA,"6.72328641933665e-08","4522"
"22","RWF",2000,NA,"NA","NA"
"23","RWF",2001,179.428571428571,"NA","NA"
"24","RWF",2019,402.333333333333,"NA","NA"
"25","SMB",2000,170.543909348442,"0.787601133556439","1715677"
"26","SMB",2001,169.616022099448,"1.14527601045187e-177","3545928.5"
"27","SMB",2019,102.972807613868,"5.81678566894283e-214","1374836"
"28","SS",2000,65.5,"0.359967683293361","2453.5"
"29","SS",2001,67.4263565891473,"0.502128888991914","3007.5"
"30","SS",2019,64.134328358209,"0.00674630091592911","10312.5"
